,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link,day,month,week,year,season
110,2024-01-08,2024-01-08,Run,553,8.477847164160002,3226,6.342708581881809,4.893322993716694,9.45970793856,12.26160802944,147.0,8336.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7706273512,Monday,January,2,2024,winter
111,2024-01-08,2024-01-07,Run,32,0.0020400044544,641,5236.91640817625,0.0,0.01145712915072,0.0,79.0,1534.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7704927076,Monday,January,2,2024,winter
112,2024-01-07,2024-01-07,Run,78,1.239920694144,433,5.825833383043028,5.059707557862086,10.29896474112,11.85840298368,146.0,1127.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7704808066,Sunday,January,1,2024,winter
113,2024-01-07,2024-01-07,Run,585,8.54614772352,3220,6.280447188419629,5.017056639226915,9.55345222656,11.9591961984,153.0,8327.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7704807703,Sunday,January,1,2024,winter
114,2024-01-06,2024-01-05,Run,1061,13.38468873984,5808,7.232015032211883,4.521612532808399,8.296474095359999,13.2696045504,159.0,14869.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7701678769,Saturday,January,1,2024,winter
115,2024-01-03,2024-01-02,Run,953,13.90236642432,5128,6.147256273363557,4.1542019605503855,9.76044605184,14.443202568959997,156.0,13280.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7696673563,Wednesday,January,1,2024,winter
116,2023-12-31,2023-12-30,Run,1123,17.426781504,7095,6.785124870754792,3.421611538614491,8.842910757119999,17.5355731584,146.0,18242.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7691904478,Sunday,December,52,2023,winter
117,2023-12-30,2023-12-29,Run,925,10.86585616512,5533,8.486749880696731,3.218124900580609,7.069848191999999,18.6444111744,153.0,14028.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7690609210,Saturday,December,52,2023,winter
118,2023-12-27,2023-12-27,Run,906,13.31397416448,5604,7.015467171717171,3.6525689970571857,8.552520725759999,16.4267351424,149.0,14377.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7687681873,Wednesday,December,52,2023,winter
119,2023-12-27,2023-12-26,Run,1057,14.578403558400002,6294,7.19585122882367,4.172923874572497,8.338172198399999,14.37839428608,153.0,16120.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7686343102,Wednesday,December,52,2023,winter
120,2023-12-22,2023-12-22,Run,846,12.689323384320002,5112,6.714661377555078,3.645379732363,8.93567334528,16.4592438912,149.0,13155.0,,Garmin Garmin Connect,http://www.mapmyrun.com/workout/7681529713,Friday,December,51,2023,winter
